"lat","long","alt","index"
42.568829,-2.19362,447.258178710938,1
42.568539,-2.19451,447.985870361328,2
42.568432,-2.19507,448.365203857422,3
42.567791,-2.19738,458.649841308594,4
42.567669,-2.19775,459.721710205078,5
42.56744,-2.19823,461.825744628906,6
42.56728,-2.19877,463.924835205078,7
42.567169,-2.19976,465.474212646484,8
42.567101,-2.20081,466.362976074219,9
42.56683,-2.20235,465.673645019531,10
42.566608,-2.20325,465.378601074219,11
42.566528,-2.20484,464.029541015625,12
42.566448,-2.20575,464.729705810547,13
42.566189,-2.20764,468.036254882812,14
42.565739,-2.21455,466.080139160156,15
42.565399,-2.21818,465.613525390625,16
42.565369,-2.218927,465.040496826172,17
42.565296,-2.219743,464.080902099609,18
42.565212,-2.221116,464.414855957031,19
42.56506,-2.223026,464.688781738281,20
42.564991,-2.223626,466.022827148438,21
42.563931,-2.229828,451.012359619141,22
42.563519,-2.232188,452.389953613281,23
42.563084,-2.234741,450.526489257812,24
42.562927,-2.235492,450.691986083984,25
42.563046,-2.235578,451.510467529297,26
42.563084,-2.235804,451.937408447266,27
42.563148,-2.236104,452.197448730469,28
42.563313,-2.236286,452.897308349609,29
42.563553,-2.236544,454.203918457031,30
42.563606,-2.236748,454.732574462891,31
42.563622,-2.23708,455.285980224609,32
42.563679,-2.238261,457.958801269531,33
42.563694,-2.238786,458.616668701172,34
42.563725,-2.239119,458.752105712891,35
42.563732,-2.239623,458.782684326172,36
42.563828,-2.240664,460.472961425781,37
42.563873,-2.241715,462.265747070312,38
42.56385,-2.242219,462.865753173828,39
42.56385,-2.242799,463.679351806641,40
42.563774,-2.24341,463.954925537109,41
42.563614,-2.244655,463.794342041016,42
42.563538,-2.245138,463.944366455078,43
42.563488,-2.245663,464.068023681641,44
42.563622,-2.24649,464.013275146484,45
42.563694,-2.247144,463.744445800781,46
42.563782,-2.247798,462.815399169922,47
42.563961,-2.248389,462.180847167969,48
42.564167,-2.248764,462.927642822266,49
42.564335,-2.249011,463.9208984375,50
42.564388,-2.249397,463.336883544922,51
42.564335,-2.249858,462.047027587891,52
42.564278,-2.250191,461.124145507812,53
42.564121,-2.250727,460.761993408203,54
42.564079,-2.251521,461.736206054688,55
42.564041,-2.252229,461.649169921875,56
42.563862,-2.252948,459.201629638672,57
42.563717,-2.25356,457.340026855469,58
42.563622,-2.253925,456.371551513672,59
42.563702,-2.2543,457.021850585938,60
42.563843,-2.25459,457.573364257812,61
42.563869,-2.254783,457.130462646484,62
42.563637,-2.255201,454.019165039062,63
42.563339,-2.255738,453.870269775391,64
42.562965,-2.256167,456.504302978516,65
42.562881,-2.256607,459.471038818359,66
42.562832,-2.256993,461.933502197266,67
42.562744,-2.257175,462.742401123047,68
42.562428,-2.257283,462.83642578125,69
42.562096,-2.257454,462.557952880859,70
42.561989,-2.257991,463.045654296875,71
42.561535,-2.258399,463.622528076172,72
42.560699,-2.25916,465.653594970703,73
42.560089,-2.259954,464.162750244141,74
42.559322,-2.261038,463.265625,75
42.559109,-2.261403,462.991302490234,76
42.558445,-2.262872,463.003662109375,77
42.558353,-2.26298,462.782287597656,78
42.557575,-2.263806,464.593902587891,79
42.557102,-2.264149,466.597381591797,80
42.556667,-2.2646,470.399444580078,81
42.556351,-2.264825,472.663726806641,82
42.555538,-2.265887,482.697601318359,83
42.555397,-2.266123,484.264770507812,84
42.554829,-2.266316,486.937469482422,85
42.554394,-2.266392,491.500946044922,86
42.55407,-2.266284,492.921813964844,87
42.553703,-2.265909,489.531188964844,88
42.553165,-2.265769,487.235717773438,89
42.552795,-2.265973,486.059814453125,90
42.55267,-2.266134,485.349426269531,91
42.552612,-2.266059,484.918731689453,92
